time_ns,mean_base_sasa_A2,stacked_adjacent_pairs,unstacked_base_fraction,syn_like_fraction
0.0,110.48044953346252,19,0.325,0.5
0.5,104.46886157989502,19,0.325,0.5
1.0,106.35076389312744,17,0.375,0.5
1.5,106.94542512893676,21,0.25,0.525
2.0,102.80251178741455,19,0.25,0.5
2.5,108.42611861228943,18,0.275,0.675
3.0,108.26670932769775,19,0.275,0.6
3.5,104.64935855865478,19,0.275,0.725
4.0,103.73459877967835,20,0.225,0.725
4.5,101.36300129890442,21,0.2,0.575
5.0,103.63073954582214,22,0.225,0.6
5.5,100.77444005012512,21,0.25,0.675
6.0,103.72722301483154,22,0.2,0.7
6.5,100.90251767635345,22,0.25,0.625
7.0,97.78319644927979,21,0.25,0.575
7.5,104.4941614151001,21,0.275,0.625
8.0,105.89155628681183,22,0.25,0.7
8.5,105.12502744197846,20,0.275,0.775
9.0,107.83827662467957,19,0.3,0.65
9.5,104.18886370658875,20,0.275,0.6
10.0,105.66719613075256,20,0.25,0.625
10.5,104.95373306274413,22,0.225,0.5
11.0,106.67954864501954,19,0.275,0.5
11.5,104.93072748184204,22,0.225,0.475
12.0,105.84802317619324,19,0.275,0.425
12.5,108.54344444274902,20,0.275,0.5
13.0,107.45136156082154,21,0.275,0.475
13.5,110.23632225990295,21,0.275,0.625
14.0,116.70572843551636,20,0.325,0.7
14.5,115.7737241268158,16,0.4,0.65
15.0,112.88029513359069,19,0.35,0.625
15.5,110.63856801986694,20,0.3,0.575
16.0,112.28705277442933,19,0.325,0.55
16.5,113.23487954139709,17,0.35,0.525
17.0,112.63150210380554,18,0.3,0.6
17.5,106.1554392337799,19,0.325,0.475
18.0,103.1982027053833,20,0.25,0.4
18.5,104.40653743743897,22,0.225,0.575
19.0,100.3269308567047,22,0.25,0.45
19.5,105.38548183441162,23,0.225,0.475
20.0,109.99457921981812,22,0.25,0.525
20.5,105.2488121509552,21,0.275,0.625
21.0,106.23327827453613,22,0.25,0.525
21.5,114.24516515731811,18,0.325,0.6
22.0,109.94497222900391,20,0.275,0.625
22.5,102.34944024085999,22,0.225,0.725
23.0,97.06266436576843,22,0.25,0.625
23.5,101.87678484916687,21,0.275,0.575
24.0,97.5473525762558,21,0.275,0.5
24.5,103.14375858306884,20,0.25,0.55
25.0,101.60995512008667,19,0.275,0.575
25.5,97.93632087707519,20,0.25,0.6
26.0,101.35603289604187,20,0.25,0.575
26.5,105.43479127883911,22,0.225,0.625
27.0,105.28480982780457,20,0.25,0.65
27.5,108.96180591583251,18,0.275,0.6
28.0,103.72286334037781,20,0.25,0.725
28.5,105.90245351791381,19,0.275,0.65
29.0,107.02015361785888,21,0.225,0.55
29.5,107.42229616641998,17,0.325,0.525
30.0,101.32817251086234,19,0.25,0.45
30.5,103.79966893196107,19,0.275,0.575
31.0,101.59707064628601,21,0.225,0.625
31.5,100.11714525222779,20,0.25,0.625
32.0,100.24799572229385,21,0.25,0.6
32.5,99.9501529097557,18,0.3,0.6
33.0,102.1179426908493,20,0.275,0.7
33.5,105.60064783096314,18,0.35,0.675
34.0,102.02064805030822,19,0.325,0.725
34.5,107.88141272068023,18,0.325,0.575
35.0,110.87697911262512,17,0.35,0.6
35.5,104.97393946647644,19,0.275,0.6
36.0,103.0737867116928,19,0.3,0.65
36.5,105.52508907318115,19,0.275,0.575
37.0,104.9877046585083,16,0.375,0.5
37.5,105.90745606422425,15,0.4,0.675
38.0,108.1624868631363,14,0.4,0.625
38.5,104.49950420856476,16,0.35,0.625
39.0,99.16517131328582,17,0.35,0.65
39.5,96.85049359500408,19,0.3,0.625
40.0,95.14056747555733,21,0.25,0.475
40.5,101.29003825187684,18,0.325,0.7
41.0,96.5017050564289,18,0.325,0.525
41.5,97.70189357995987,18,0.3,0.625
42.0,99.97506256103516,17,0.325,0.575
42.5,100.28695193529128,16,0.35,0.575
43.0,104.5252759039402,16,0.35,0.675
43.5,105.0324238717556,18,0.3,0.65
44.0,100.85450120866298,18,0.3,0.6
44.5,100.75360016822815,20,0.275,0.65
45.0,104.05260883569717,17,0.375,0.6
45.5,106.2504566669464,18,0.35,0.575
46.0,104.1236455798149,18,0.375,0.65
46.5,99.53911311626435,16,0.425,0.775
47.0,103.71082558631898,15,0.4,0.675
47.5,101.77607347965241,15,0.375,0.675
48.0,105.09449779987335,16,0.375,0.7
48.5,102.50954397320747,17,0.375,0.6
49.0,101.8298331618309,17,0.375,0.575
49.5,107.73566097021103,14,0.45,0.725
