step,time_ns,rg_A,end_to_end_A,lead_z_A,tail_z_A,dna_COM_z_A,lead_radius_A,lead_above_cis_CA_plane_A,c1_below_trans_CA_plane,minimum_DNA_protein_heavy_A,contact_pairs_3p5A,contacting_DNA_residues_3p5A,contacting_protein_atoms_3p5A,stacked_adjacent_pairs_ring_centers,dna_max_bond_A,nearest_DNA_image_A
0,0.0,24.552353423432756,47.72786499691351,93.82368663366105,141.1544030660555,114.71538302936091,1.7565622333894952,12.324806923083216,0,3.1650820892331644,5,1,1,11,1.64701826286854,129.75943749337918
25000,0.024999999999999998,24.592717593649514,48.173915674502275,94.06939441624797,141.73058747645132,114.92405932778092,1.188225896071726,12.570514705670135,0,2.8915205669280306,7,2,3,13,1.6588932263348275,130.31331721234406
50000,0.049999999999999996,24.557927846731623,47.979646640941745,94.37610961559386,141.76877062950257,114.88312220430731,1.1262806903964482,12.877229905016023,0,3.0481243655326824,8,2,5,12,1.645635120399977,130.53888687509502
75000,0.075,24.749974978386096,47.52642153294381,95.09323776721052,141.81813828993648,114.94450670115259,0.6378953681146976,13.594358056632686,0,2.9718047369587874,3,2,2,12,1.650039325472865,130.56372744334797
100000,0.09999999999999999,24.770248021376148,47.45046295777298,95.37775116985436,141.86342667763938,114.90114959639625,0.9580466708144237,13.878871459276525,0,2.780453192326887,5,2,5,13,1.6313258136192943,130.2121212427888
125000,0.125,24.675413759636346,47.2925052982645,94.9345186067819,141.37965405464337,114.62041516772227,0.8551643476550197,13.435638896204054,0,2.921822190082027,2,1,2,11,1.6379696077123507,132.68069745319343
150000,0.15,24.612195870551407,46.77531435774489,95.35218520506032,141.46124534391453,114.29083908230015,1.4283801836428587,13.853305494482484,0,2.802034874229192,2,1,1,10,1.6559078304008483,133.38652559205588
175000,0.175,24.68444370521104,47.58380814168936,94.18953411331867,141.11462530392657,114.05193540269411,0.8167974192621251,12.690654402740833,0,3.203667988150029,2,2,2,11,1.6541483137573763,131.7339903935071
200000,0.19999999999999998,25.241072827120725,50.90898281809356,92.16224865309593,142.2671779185432,114.2427002035406,0.6601445407242477,10.66336894251809,0,3.0221613040507798,3,2,3,12,1.6633881088576776,133.28197362586724
225000,0.22499999999999998,25.57689377489677,52.109583190379716,91.77678271479472,142.94944457054874,114.6248103270845,1.2295118626114805,10.277903004216881,0,3.2133575479762833,2,2,2,10,1.6488267687858864,133.98621411139612
