step,time_ns,rg_A,end_to_end_A,lead_z_A,tail_z_A,dna_COM_z_A,lead_radius_A,lead_above_cis_CA_plane_A,c1_below_trans_CA_plane,minimum_DNA_protein_heavy_A,contact_pairs_3p5A,contacting_DNA_residues_3p5A,contacting_protein_atoms_3p5A,stacked_adjacent_pairs_ring_centers,dna_max_bond_A,nearest_DNA_image_A
0,0.0,28.80958596977325,62.03187421011726,86.6544275947268,148.4587177979228,116.90941784661591,2.283033901407058,9.981803326710775,0,2.688539241883101,6,2,6,11,1.6480105179217528,103.87281259749584
25000,0.024999999999999998,28.51982267374527,61.83907510576404,87.05553464210212,148.62485462290988,117.00897300245344,0.789702656116699,10.382910374086094,0,2.6671959472821225,6,2,6,11,1.6654498294594549,105.69614873985205
50000,0.049999999999999996,28.588591013275668,61.503694097410566,86.99306448090975,148.19128265024693,116.96268232000646,0.46470001016919305,10.320440212893729,0,2.6112896778983217,3,2,3,12,1.6723379833738874,105.89793477751196
75000,0.075,28.823700703990795,62.644136064565814,86.17342618323977,148.53968097433307,116.7019451344293,0.5742043639454144,9.500801915223747,0,2.9128097183302315,5,2,5,11,1.6581707294097225,103.89957303054672
100000,0.09999999999999999,28.718715051241333,62.63966804569715,85.55763209718634,147.876413711741,116.08514876776725,0.3509463277276028,8.88500782917032,0,2.587736995976921,7,2,6,12,1.6399936605929601,104.39806307818682
125000,0.125,28.670592042102545,62.840717461691646,85.54574651075687,148.08637947773704,115.99469513133704,0.6291698222264501,8.873122242740848,0,2.7145814253792815,5,2,5,10,1.657241205179024,105.75963318762327
150000,0.15,28.82529908504525,62.76582931469848,85.85682639404516,148.33853187305175,116.45988414811103,0.836069699302163,9.184202126029135,0,2.65526685007377,9,2,7,8,1.6412950632852528,105.72154713568094
175000,0.175,28.891915131527682,62.6769160443506,85.0936726400712,147.3552796394248,116.03573344875691,0.4878377512084157,8.421048372055182,0,2.492415555128832,9,3,8,10,1.6540155470163636,104.54475718176474
200000,0.19999999999999998,29.145382717288715,62.29594618419899,85.73766428351799,147.66771958344742,116.13363034244358,2.2224828816815627,9.065040015501964,0,2.675481966172021,10,2,8,11,1.6700049143906355,105.91710076869913
225000,0.22499999999999998,28.93542657827595,62.745121591672806,84.9299035671072,147.21124518447672,116.24704588393028,3.338367677427425,8.25727929909118,0,2.757690542671755,7,2,6,9,1.679350823486494,106.44545472799534
