sequence,block_0p5ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,0,25.858405,55.753928,262.97611,0.21202121,0.56538445,13.32,4.86,0.4545,0.2865,0.5905,0.1517946,29.26,4.24,7.78,1.6532803
dA40,1,24.498343,53.998524,262.29861,0.20586882,0.50361228,13.24,4.82,0.467,0.3245,0.6075,0.2204281,31.56,4.22,8.16,1.6544654
dA40,2,24.085179,55.500835,265.14956,0.20932431,0.53738002,12.06,3.98,0.4905,0.376,0.664,0.24932335,31.42,3.98,7.82,1.6553136
dA40,3,25.056461,56.098025,264.47256,0.21211206,0.54826737,11.84,4.14,0.508,0.389,0.6835,0.25322876,30.2,4.08,8.48,1.6537302
dA40,4,26.012642,56.584992,267.6857,0.21139826,0.55370212,10.84,3.86,0.5445,0.408,0.659,0.25441172,29.84,3.78,8.14,1.6506746
dA40,5,24.367491,50.887927,265.81314,0.19145003,0.49754749,11.78,4.08,0.521,0.3675,0.677,0.23887602,30.98,3.44,7.54,1.6539006
dA40,6,25.102464,52.409702,265.7326,0.19724952,0.56405536,10.86,4.06,0.5405,0.4075,0.669,0.24402069,30.84,3.42,7.18,1.6509448
dA40,7,25.025223,52.186075,264.94781,0.19698948,0.54575098,11.68,3.46,0.5135,0.3925,0.6615,0.20174044,29.64,3.36,7.6,1.6501956
dA40,8,25.340644,50.958179,264.27166,0.19280546,0.5302728,12.5,3.58,0.4845,0.337,0.6235,0.19308816,29.14,4.16,7.68,1.6513238
dA40,9,25.936157,51.35307,265.62095,0.19335543,0.5264884,10.26,3.08,0.5655,0.4145,0.647,0.20445519,29.06,4.24,8.18,1.6508299
dT40,0,27.129245,72.335226,292.94408,0.24694282,0.74936778,4.06,6.3,0.8445,0.454,0.3205,9.9811321e-05,29.84,0.88,5.02,1.6541578
dT40,1,27.526652,73.728346,295.58442,0.24944421,0.75383233,3.76,6.44,0.846,0.449,0.2955,-0.023462579,28.9,0.82,4.84,1.6515054
dT40,2,27.105052,68.604601,294.31415,0.23308829,0.70644795,3.98,6.78,0.843,0.4155,0.245,-0.031559857,30.32,0.74,4.68,1.6541145
dT40,3,25.664977,63.71142,292.66541,0.21770824,0.66861003,3.72,6.58,0.853,0.437,0.2325,0.013838246,29.66,0.72,4.64,1.6536516
dT40,4,25.972998,64.099997,291.43664,0.21994845,0.66213503,4.18,6.82,0.8255,0.4005,0.236,-0.014234989,29.7,0.62,3.8,1.6520748
dT40,5,26.881326,69.066945,293.29217,0.2355008,0.69015612,4.58,6.6,0.8165,0.422,0.266,0.0056253086,29.82,0.68,3.6,1.6525065
dT40,6,28.585359,73.57804,291.17453,0.25269447,0.72658288,4.04,6.48,0.841,0.451,0.286,-0.009919924,28.74,0.82,4.2,1.651789
dT40,7,28.760242,74.454648,291.46572,0.25547482,0.7429503,4,6.48,0.843,0.441,0.283,0.024221984,27.28,0.86,4.42,1.652152
dT40,8,28.194058,75.322976,297.43158,0.2532706,0.71893038,4.1,5.86,0.8415,0.466,0.3035,0.042226334,27.98,0.9,5.04,1.6542855
dT40,9,27.355896,73.42986,296.86322,0.24739261,0.67012924,3.66,5.7,0.8535,0.4285,0.3095,0.028341137,28.4,0.78,4.7,1.650322
