sequence,window_time_ns,source_time_ns,K_within_3p5A,K_box_molar,Cl_within_3p5A,Cl_box_molar,waterO_within_3p5A
dA40,0.01,45.01,34,3.3005388,4,3.2228556,484
dA40,0.11,45.11,42,3.3035887,5,3.2258337,467
dA40,0.21,45.21,39,3.311955,5,3.2340031,470
dA40,0.31,45.31,44,3.3053338,7,3.2275377,462
dA40,0.41,45.41,39,3.3140758,3,3.2360741,469
dA40,0.51,45.51,33,3.3081196,4,3.230258,475
dA40,0.61,45.61,38,3.3117466,6,3.2337996,456
dA40,0.71,45.71,32,3.3023821,4,3.2246556,462
dA40,0.81,45.81,36,3.3130425,4,3.2350651,483
dA40,0.91,45.91,34,3.3088069,4,3.2309291,490
dA40,1.01,46.01,38,3.3022341,5,3.224511,469
dA40,1.11,46.11,33,3.3081474,2,3.2302851,475
dA40,1.21,46.21,35,3.3080308,7,3.2301713,476
dA40,1.31,46.31,38,3.3068421,2,3.2290106,465
dA40,1.41,46.41,32,3.310778,5,3.2328538,465
dA40,1.51,46.51,34,3.314113,3,3.2361104,473
dA40,1.61,46.61,38,3.315141,3,3.2371141,472
dA40,1.71,46.71,48,3.3049738,6,3.2271863,461
dA40,1.81,46.81,36,3.3088873,3,3.2310076,474
dA40,1.91,46.91,41,3.3104651,7,3.2325483,475
dA40,2.01,47.01,41,3.3149556,6,3.2369331,477
dA40,2.11,47.11,35,3.3014296,4,3.2237254,482
dA40,2.21,47.21,44,3.3136207,8,3.2356296,456
dA40,2.31,47.31,40,3.3085998,5,3.2307269,470
dA40,2.41,47.41,37,3.30746,7,3.2296139,476
dA40,2.51,47.51,34,3.3049076,6,3.2271216,469
dA40,2.61,47.61,43,3.3076713,2,3.2298202,465
dA40,2.71,47.71,39,3.309081,9,3.2311967,457
dA40,2.81,47.81,45,3.3112989,3,3.2333624,465
dA40,2.91,47.91,39,3.3098718,12,3.231969,473
dA40,3.01,48.01,37,3.3072397,4,3.2293988,475
dA40,3.11,48.11,35,3.3061107,9,3.2282964,467
dA40,3.21,48.21,35,3.3057511,9,3.2279453,488
dA40,3.31,48.31,41,3.3043596,4,3.2265865,470
dA40,3.41,48.41,32,3.3073331,8,3.22949,460
dA40,3.51,48.51,37,3.2991918,9,3.2215403,463
dA40,3.61,48.61,35,3.3110201,7,3.2330903,462
dA40,3.71,48.71,39,3.3120181,3,3.2340648,469
dA40,3.81,48.81,37,3.3093146,4,3.2314249,480
dA40,3.91,48.91,34,3.3062587,5,3.2284409,478
dA40,4.01,49.01,29,3.3096027,7,3.2317062,470
dA40,4.11,49.11,35,3.3133776,3,3.2353922,478
dA40,4.21,49.21,32,3.3121153,3,3.2341597,473
dA40,4.31,49.31,27,3.3093735,0,3.2314824,496
dA40,4.41,49.41,30,3.3092384,1,3.2313505,483
dA40,4.51,49.51,34,3.3123674,2,3.2344058,499
dA40,4.61,49.61,29,3.3021637,1,3.2244423,487
dA40,4.71,49.71,29,3.3148776,4,3.2368569,494
dA40,4.81,49.81,39,3.3037527,3,3.2259939,474
dA40,4.91,49.91,39,3.305553,6,3.2277519,470
dA40,5,50,28,3.3130504,2,3.2350728,511
dT40,0.01,0.01,31,3.2748006,6,3.2628219,457
dT40,0.11,0.11,24,3.2762625,4,3.2642785,471
dT40,0.21,0.21,33,3.2759275,4,3.2639446,470
dT40,0.31,0.31,32,3.2785143,3,3.266522,459
dT40,0.41,0.41,31,3.2786025,3,3.2666099,456
dT40,0.51,0.51,30,3.2764881,4,3.2645032,491
dT40,0.61,0.61,30,3.2797083,3,3.2677116,446
dT40,0.71,0.71,20,3.2782733,3,3.2662819,466
dT40,0.81,0.81,31,3.280023,4,3.2680252,470
dT40,0.91,0.91,30,3.2791777,6,3.267183,495
dT40,1.01,1.01,23,3.2793977,4,3.2674022,460
dT40,1.11,1.11,30,3.2797204,2,3.2677237,473
dT40,1.21,1.21,33,3.2756459,5,3.263664,464
dT40,1.31,1.31,26,3.2792764,4,3.2672813,450
dT40,1.41,1.41,28,3.2756091,5,3.2636274,477
