sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,0.01,45.01,25.830839,56.098757,262.93626,0.21335497,0.55532991,14,5,0.425,0.25,0.6,0.1683067,27,2,7,1.637399
dA40,0.02,45.02,25.265952,55.026406,261.73858,0.21023422,0.53554327,12,5,0.5,0.275,0.575,0.17333382,28,3,6,1.6510131
dA40,0.03,45.03,25.165554,54.957319,261.379,0.21025913,0.53931456,11,5,0.55,0.35,0.6,0.16339334,28,5,9,1.6437207
dA40,0.04,45.04,25.553304,55.876919,262.46522,0.21289266,0.55563697,11,5,0.55,0.325,0.6,0.16212561,29,2,6,1.620044
dA40,0.05,45.05,25.459106,56.529506,263.6691,0.21439564,0.55645432,11,6,0.55,0.275,0.65,0.17769149,27,4,9,1.6480724
dA40,0.06,45.06,25.311187,55.825097,262.84085,0.21239126,0.53336345,10,5,0.575,0.35,0.55,0.17841999,28,4,9,1.6348607
dA40,0.07,45.07,25.336904,55.698458,264.88779,0.2102719,0.53971053,13,5,0.475,0.275,0.575,0.19113594,29,5,9,1.6555487
dA40,0.08,45.08,25.558433,56.162923,262.74272,0.21375635,0.55029819,14,4,0.45,0.3,0.575,0.16382548,29,3,4,1.6332702
dA40,0.09,45.09,25.672396,57.223684,259.43587,0.22056967,0.55562873,15,4,0.425,0.3,0.625,0.15093959,28,4,7,1.6413743
dA40,0.1,45.1,25.523015,56.157741,265.04228,0.21188219,0.55416852,11,5,0.525,0.325,0.525,0.18621936,27,1,5,1.6466492
dA40,0.11,45.11,25.768668,55.313643,262.71176,0.21054879,0.56066931,12,5,0.5,0.3,0.575,0.15857803,29,5,8,1.6448903
dA40,0.12,45.12,25.541975,54.572925,262.8078,0.20765337,0.56024287,13,5,0.45,0.25,0.7,0.135723,31,3,8,1.6583191
dA40,0.13,45.13,25.909155,55.069589,263.4353,0.20904408,0.57009298,15,5,0.375,0.225,0.525,0.13812856,31,2,5,1.6355827
dA40,0.14,45.14,26.202372,56.043392,261.15771,0.21459597,0.57939994,14,5,0.4,0.25,0.55,0.13333631,30,5,8,1.6603638
dA40,0.15,45.15,26.288606,55.436847,262.89042,0.21087436,0.57465414,12,5,0.475,0.275,0.625,0.15154324,31,4,7,1.6737718
dA40,0.16,45.16,26.520793,55.973467,263.17005,0.21268935,0.5839441,14,4,0.425,0.275,0.55,0.15502467,28,5,7,1.6494576
dA40,0.17,45.17,26.437804,55.091381,260.42717,0.21154237,0.59035488,15,4,0.4,0.25,0.6,0.1535737,29,2,5,1.6410281
dA40,0.18,45.18,26.466594,56.056666,263.81034,0.21248851,0.58323086,13,4,0.475,0.325,0.55,0.1609078,31,3,7,1.6523065
dA40,0.19,45.19,26.735978,55.926533,263.68819,0.21209343,0.57285529,13,5,0.4,0.25,0.55,0.15246808,29,4,8,1.6388285
dA40,0.2,45.2,26.499332,55.951681,261.62542,0.2138618,0.58466312,14,4,0.425,0.325,0.55,0.14007497,29,6,9,1.640887
dA40,0.21,45.21,26.493265,55.942097,262.86954,0.21281315,0.58109403,12,5,0.5,0.275,0.675,0.14503016,28,7,10,1.664745
dA40,0.22,45.22,26.102658,55.47795,262.76497,0.21113145,0.56953803,11,4,0.55,0.375,0.6,0.11688621,30,3,6,1.6916521
dA40,0.23,45.23,25.773027,54.414079,262.99173,0.20690415,0.55265689,14,6,0.4,0.2,0.575,0.12756644,28,3,6,1.6554344
dA40,0.24,45.24,26.075787,54.398657,264.36832,0.20576844,0.56695976,14,5,0.45,0.3,0.55,0.13043529,30,2,4,1.6911885
dA40,0.25,45.25,26.040581,54.362719,264.63169,0.20542785,0.56514312,14,5,0.45,0.275,0.625,0.12723961,29,5,7,1.6555254
dA40,0.26,45.26,25.883005,53.250228,264.22473,0.20153385,0.55913595,15,5,0.4,0.3,0.55,0.12013749,28,3,5,1.6599089
dA40,0.27,45.27,25.804216,53.325869,266.46235,0.20012534,0.55527362,15,5,0.375,0.2,0.7,0.13169816,29,3,6,1.639661
dA40,0.28,45.28,25.760406,54.56832,264.12459,0.20660068,0.55806758,13,4,0.475,0.4,0.55,0.1385616,29,5,9,1.6561954
dA40,0.29,45.29,25.794064,55.194337,263.62298,0.20936846,0.55461911,14,5,0.45,0.325,0.625,0.12282839,29,4,8,1.6591196
dA40,0.3,45.3,25.802048,55.325518,266.68314,0.20745788,0.55180398,14,5,0.425,0.25,0.6,0.13001088,28,5,9,1.6664907
dA40,0.31,45.31,25.565737,54.785406,262.72192,0.20853002,0.56109764,11,4,0.55,0.375,0.6,0.1448439,30,5,9,1.6479877
dA40,0.32,45.32,25.847721,54.91294,262.62988,0.2090887,0.56598838,12,5,0.525,0.3,0.55,0.1186688,28,6,10,1.64699
