sequence,block_0p5ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,0,36.540734,87.068099,247.56089,0.35172894,0.89366771,15.5,0.84,0.391,0.3205,0.509,-0.10883781,17.94,2.42,7.68,1.6521918
dA40,1,35.270309,83.563264,249.89096,0.33454,0.88032468,14.98,1.7,0.411,0.3445,0.54,-0.02638192,17.34,3.84,7.4,1.6506872
dA40,2,34.161575,79.213511,248.85861,0.31832317,0.85221706,14.48,1.66,0.4065,0.2975,0.55,0.038772761,16,2.82,6.28,1.653032
dA40,3,33.524947,75.643448,248.9815,0.30382046,0.85390089,16.42,1.6,0.311,0.223,0.556,0.082752747,17.94,2.58,6.14,1.6511817
dA40,4,32.722886,74.279827,245.99646,0.30196771,0.84179645,16.74,1.48,0.3005,0.233,0.5675,0.072700727,17.6,2.94,5.86,1.6493179
dA40,5,33.437968,75.883479,249.30241,0.30440131,0.8443314,14.48,1.22,0.383,0.3095,0.587,0.10765628,17.92,3.08,5.74,1.6525378
dA40,6,32.167745,71.052086,249.22783,0.28513987,0.81007933,14.72,1.14,0.3825,0.3175,0.6005,0.12714313,18.6,2.9,5.78,1.6540575
dA40,7,32.904371,76.166773,251.46296,0.30291353,0.83384038,14.84,0.92,0.3855,0.329,0.6535,0.11358732,18.14,3.22,6.54,1.6530246
dA40,8,34.247674,75.751122,251.50054,0.30120822,0.85398752,16.92,0.96,0.3255,0.2745,0.6235,0.012342028,21.5,3.14,6.9,1.6520931
dA40,9,32.648638,70.266889,251.39406,0.27951398,0.81167174,16.44,1.4,0.3425,0.275,0.622,-0.026282919,21.9,3.22,6.62,1.6542447
dT40,0,27.129245,72.335226,292.94408,0.24694282,0.74936778,4.06,6.3,0.8445,0.454,0.3205,9.9811321e-05,29.84,0.88,5.02,1.6541578
dT40,1,27.526652,73.728346,295.58442,0.24944421,0.75383233,3.76,6.44,0.846,0.449,0.2955,-0.023462579,28.9,0.82,4.84,1.6515054
dT40,2,27.105052,68.604601,294.31415,0.23308829,0.70644795,3.98,6.78,0.843,0.4155,0.245,-0.031559857,30.32,0.74,4.68,1.6541145
dT40,3,25.664977,63.71142,292.66541,0.21770824,0.66861003,3.72,6.58,0.853,0.437,0.2325,0.013838246,29.66,0.72,4.64,1.6536516
dT40,4,25.972998,64.099997,291.43664,0.21994845,0.66213503,4.18,6.82,0.8255,0.4005,0.236,-0.014234989,29.7,0.62,3.8,1.6520748
dT40,5,26.881326,69.066945,293.29217,0.2355008,0.69015612,4.58,6.6,0.8165,0.422,0.266,0.0056253086,29.82,0.68,3.6,1.6525065
dT40,6,28.585359,73.57804,291.17453,0.25269447,0.72658288,4.04,6.48,0.841,0.451,0.286,-0.009919924,28.74,0.82,4.2,1.651789
dT40,7,28.760242,74.454648,291.46572,0.25547482,0.7429503,4,6.48,0.843,0.441,0.283,0.024221984,27.28,0.86,4.42,1.652152
dT40,8,28.194058,75.322976,297.43158,0.2532706,0.71893038,4.1,5.86,0.8415,0.466,0.3035,0.042226334,27.98,0.9,5.04,1.6542855
dT40,9,27.355896,73.42986,296.86322,0.24739261,0.67012924,3.66,5.7,0.8535,0.4285,0.3095,0.028341137,28.4,0.78,4.7,1.650322
