sequence,window_time_ns,source_time_ns,K_within_3p5A,K_box_molar,Cl_within_3p5A,Cl_box_molar,waterO_within_3p5A
dA40,0.01,0.01,30,3.308254,3,3.2303892,498
dA40,0.11,0.11,33,3.3122397,7,3.2342811,506
dA40,0.21,0.21,34,3.3035736,5,3.225819,502
dA40,0.31,0.31,41,3.3157375,2,3.2376966,509
dA40,0.41,0.41,42,3.3146161,4,3.2366016,496
dA40,0.51,0.51,31,3.311455,4,3.2335149,492
dA40,0.61,0.61,27,3.3097182,6,3.231819,514
dA40,0.71,0.71,30,3.3081338,4,3.2302718,515
dA40,0.81,0.81,29,3.3027795,4,3.2250436,521
dA40,0.91,0.91,28,3.3046058,5,3.2268269,495
dA40,1.01,1.01,25,3.3072176,3,3.2293772,516
dA40,1.11,1.11,32,3.3062537,6,3.228436,513
dA40,1.21,1.21,38,3.3076005,4,3.2297512,504
dA40,1.31,1.31,30,3.3146573,5,3.2366418,507
dA40,1.41,1.41,38,3.3126446,7,3.2346765,491
dA40,1.51,1.51,36,3.3115303,6,3.2335885,498
dA40,1.61,1.61,38,3.3035901,8,3.2258351,496
dA40,1.71,1.71,29,3.3149508,12,3.2369284,500
dA40,1.81,1.81,37,3.3119684,10,3.2340162,489
dA40,1.91,1.91,34,3.3027333,8,3.2249984,467
dA40,2.01,2.01,29,3.3080093,7,3.2301503,474
dA40,2.11,2.11,33,3.3067645,7,3.2289348,475
dA40,2.21,2.21,31,3.307263,6,3.2294216,510
dA40,2.31,2.31,25,3.303911,4,3.2261484,486
dA40,2.41,2.41,35,3.3036653,4,3.2259085,490
dA40,2.51,2.51,35,3.3061857,5,3.2283696,485
dA40,2.61,2.61,34,3.3043112,1,3.2265392,506
dA40,2.71,2.71,37,3.3059606,1,3.2281498,499
dA40,2.81,2.81,28,3.3111621,4,3.2332289,511
dA40,2.91,2.91,31,3.3109824,3,3.2330534,488
dA40,3.01,3.01,22,3.3095269,3,3.2316322,504
dA40,3.11,3.11,35,3.3074946,2,3.2296477,491
dA40,3.21,3.21,32,3.3062201,3,3.2284032,485
dA40,3.31,3.31,34,3.3121332,3,3.2341772,494
dA40,3.41,3.41,38,3.3136221,4,3.235631,497
dA40,3.51,3.51,39,3.3007464,3,3.2230583,482
dA40,3.61,3.61,29,3.3061141,5,3.2282997,512
dA40,3.71,3.71,36,3.3048086,3,3.2270249,501
dA40,3.81,3.81,39,3.3116463,3,3.2337017,491
dA40,3.91,3.91,38,3.3126209,2,3.2346533,477
dA40,4.01,4.01,40,3.3051315,3,3.2273402,463
dA40,4.11,4.11,36,3.3041974,8,3.2264282,493
dA40,4.21,4.21,34,3.3071665,7,3.2293273,485
dA40,4.31,4.31,27,3.3074877,1,3.2296409,495
dA40,4.41,4.41,31,3.3065437,5,3.2287192,487
dA40,4.51,4.51,39,3.3126711,4,3.2347023,467
dA40,4.61,4.61,34,3.3125422,4,3.2345765,477
dA40,4.71,4.71,36,3.3139278,6,3.2359295,468
dA40,4.81,4.81,38,3.3096399,2,3.2317425,471
dA40,4.91,4.91,37,3.308777,4,3.2308999,492
dA40,5,5,30,3.3081658,3,3.2303031,471
dT40,0.01,0.01,31,3.2748006,6,3.2628219,457
dT40,0.11,0.11,24,3.2762625,4,3.2642785,471
dT40,0.21,0.21,33,3.2759275,4,3.2639446,470
dT40,0.31,0.31,32,3.2785143,3,3.266522,459
dT40,0.41,0.41,31,3.2786025,3,3.2666099,456
dT40,0.51,0.51,30,3.2764881,4,3.2645032,491
dT40,0.61,0.61,30,3.2797083,3,3.2677116,446
dT40,0.71,0.71,20,3.2782733,3,3.2662819,466
dT40,0.81,0.81,31,3.280023,4,3.2680252,470
dT40,0.91,0.91,30,3.2791777,6,3.267183,495
dT40,1.01,1.01,23,3.2793977,4,3.2674022,460
dT40,1.11,1.11,30,3.2797204,2,3.2677237,473
dT40,1.21,1.21,33,3.2756459,5,3.263664,464
dT40,1.31,1.31,26,3.2792764,4,3.2672813,450
dT40,1.41,1.41,28,3.2756091,5,3.2636274,477
