sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,0.01,0.01,36.756948,89.319678,246.66348,0.36211148,0.89782596,18,1,0.325,0.25,0.5,-0.082687849,13,3,6,1.6554545
dA40,0.02,0.02,36.804531,90.6049,245.00823,0.36980349,0.89852139,16,1,0.35,0.275,0.55,-0.1141138,13,3,6,1.6506334
dA40,0.03,0.03,36.386015,89.12435,249.50616,0.35720301,0.89194337,16,0,0.375,0.325,0.6,-0.11399687,12,2,6,1.6399602
dA40,0.04,0.04,36.257453,88.507906,247.44033,0.35769393,0.88930859,17,1,0.325,0.25,0.525,-0.14224155,11,1,8,1.6432755
dA40,0.05,0.05,35.915774,87.214364,247.12557,0.35291518,0.89218005,15,1,0.425,0.35,0.55,-0.11947109,13,3,10,1.644874
dA40,0.06,0.06,36.10274,87.587581,247.2619,0.35423,0.89926631,16,1,0.375,0.3,0.5,-0.11563311,16,4,9,1.6509333
dA40,0.07,0.07,36.094652,87.593167,247.55703,0.35383025,0.89886281,14,1,0.45,0.375,0.55,-0.11168569,17,3,8,1.6320776
dA40,0.08,0.08,36.427834,87.510884,248.05192,0.35279261,0.8954439,16,1,0.375,0.3,0.4,-0.13264312,19,2,6,1.6401311
dA40,0.09,0.09,36.432297,87.343958,247.40676,0.35303788,0.8949931,14,1,0.45,0.4,0.475,-0.11473882,19,3,9,1.6317664
dA40,0.1,0.1,36.22025,86.346343,248.19194,0.34790149,0.89500535,15,1,0.4,0.325,0.5,-0.11431357,15,2,8,1.6629908
dA40,0.11,0.11,36.779986,86.562986,246.56334,0.35107809,0.89622032,15,1,0.4,0.325,0.6,-0.098660243,18,3,11,1.6476746
dA40,0.12,0.12,37.240961,87.845875,245.90265,0.35723842,0.89764602,15,0,0.4,0.35,0.5,-0.042443739,17,2,7,1.6538413
dA40,0.13,0.13,37.2078,86.436508,249.1841,0.3468781,0.89886299,14,1,0.45,0.375,0.575,-0.11489454,20,2,6,1.6686036
dA40,0.14,0.14,36.979064,86.743141,246.02395,0.35258007,0.89099605,15,1,0.4,0.325,0.575,-0.12337884,20,2,9,1.670836
dA40,0.15,0.15,37.040799,86.432757,247.92359,0.3486266,0.89181216,16,1,0.375,0.3,0.525,-0.10818591,16,2,6,1.6694702
dA40,0.16,0.16,37.199822,87.764473,247.67361,0.35435537,0.89538705,16,1,0.375,0.3,0.6,-0.10488667,18,2,7,1.6748006
dA40,0.17,0.17,37.185474,87.572339,245.45443,0.35677637,0.89341014,13,1,0.475,0.425,0.625,-0.10482445,19,2,9,1.6383035
dA40,0.18,0.18,37.131694,86.657439,246.37072,0.35173595,0.89508796,14,1,0.425,0.375,0.65,-0.086374407,19,2,7,1.6524331
dA40,0.19,0.19,36.911999,85.841841,245.5031,0.34965685,0.89696674,14,1,0.45,0.4,0.5,-0.11074336,17,1,6,1.6489841
dA40,0.2,0.2,36.616372,85.690726,247.83853,0.34575224,0.89203115,15,1,0.4,0.35,0.45,-0.072700629,17,3,9,1.6304785
dA40,0.21,0.21,36.738719,85.089746,249.4566,0.34110039,0.89379418,16,1,0.375,0.325,0.475,-0.086592311,16,3,7,1.6570894
dA40,0.22,0.22,36.607838,86.267917,247.74594,0.34821122,0.89345333,16,1,0.375,0.3,0.6,-0.082002588,19,1,7,1.6414824
dA40,0.23,0.23,36.404478,85.60158,250.35106,0.34192617,0.8926764,15,1,0.375,0.275,0.45,-0.083918435,20,4,10,1.6577262
dA40,0.24,0.24,36.579252,86.554071,247.20195,0.35013507,0.89039431,16,1,0.4,0.3,0.5,-0.083517865,17,3,9,1.6511366
dA40,0.25,0.25,36.224508,86.370231,246.16004,0.35087024,0.89160823,17,1,0.35,0.275,0.525,-0.11875294,21,2,7,1.6648478
dA40,0.26,0.26,36.594513,88.374852,247.89275,0.35650439,0.89094634,16,1,0.375,0.275,0.575,-0.14762964,18,1,9,1.6798099
dA40,0.27,0.27,36.545977,87.545419,246.7013,0.35486404,0.88951775,15,1,0.375,0.275,0.5,-0.12626813,18,2,7,1.6373252
dA40,0.28,0.28,36.518848,87.763808,247.57315,0.35449647,0.89271681,16,0,0.35,0.3,0.475,-0.13937979,19,4,12,1.674119
dA40,0.29,0.29,36.378718,87.809976,244.14265,0.35966668,0.89188891,18,0,0.325,0.275,0.55,-0.13405964,19,1,8,1.6562811
dA40,0.3,0.3,36.34604,88.936215,245.0462,0.36293651,0.89186159,17,0,0.35,0.3,0.55,-0.12500787,18,1,7,1.6406266
dA40,0.31,0.31,36.442505,87.924673,249.67502,0.35215646,0.88952567,14,1,0.45,0.375,0.525,-0.068804139,17,1,8,1.6604621
dA40,0.32,0.32,36.336875,88.172481,249.78458,0.35299409,0.88664851,14,0,0.425,0.375,0.45,-0.084150678,15,3,9,1.6349245
dA40,0.33,0.33,36.131945,87.118635,248.68153,0.3503221,0.88502757,14,1,0.425,0.35,0.475,-0.10544014,20,2,7,1.6521571
dA40,0.34,0.34,36.115899,88.319473,248.14378,0.35592055,0.88326926,14,1,0.45,0.35,0.575,-0.09551342,18,1,6,1.6538391
dA40,0.35,0.35,35.980512,86.955766,246.45312,0.35282882,0.88760025,17,1,0.35,0.275,0.5,-0.10659683,17,2,6,1.6343864
dA40,0.36,0.36,36.194095,86.954918,244.10809,0.35621482,0.89292158,15,1,0.4,0.325,0.525,-0.1185909,19,3,8,1.647962
dA40,0.37,0.37,36.111601,87.46335,245.50231,0.35626284,0.89024109,17,0,0.375,0.325,0.475,-0.12409612,17,5,10,1.6580778
dA40,0.38,0.38,36.329733,88.114159,246.49228,0.35747229,0.89186918,13,1,0.45,0.35,0.5,-0.090841505,18,2,7,1.6640833
dA40,0.39,0.39,36.343422,87.584509,251.00076,0.34894121,0.88883357,13,0,0.475,0.4,0.45,-0.093294091,21,3,8,1.6552124
dA40,0.4,0.4,36.270348,87.253863,249.75176,0.34936235,0.89271808,15,0,0.425,0.35,0.5,-0.12863968,21,2,6,1.6568216
dA40,0.41,0.41,36.1664,85.924778,251.17372,0.34209302,0.89228602,14,0,0.45,0.375,0.425,-0.11804302,23,3,10,1.6386577
