time_ns,mean_base_sasa_A2,stacked_adjacent_pairs,unstacked_base_fraction,syn_like_fraction
0.0,140.8222107887268,10,0.6,0.35
0.5,137.20447120666503,7,0.675,0.3
1.0,138.5159794807434,8,0.65,0.225
1.5,137.01630868911744,9,0.6,0.4
2.0,135.40005011558532,9,0.6,0.275
2.5,126.76289443969726,10,0.575,0.4
3.0,125.21561298370361,7,0.675,0.3
3.5,123.06814851760865,9,0.625,0.3
4.0,122.12234692573547,9,0.625,0.325
4.5,119.5825535774231,10,0.575,0.325
5.0,127.89559025764466,6,0.725,0.25
5.5,123.79989976882935,8,0.675,0.225
6.0,125.10246915817261,8,0.675,0.25
6.5,124.37204637527466,9,0.6,0.225
7.0,122.82468614578247,8,0.65,0.2
7.5,121.19803144931794,7,0.7,0.375
8.0,119.63307065963745,7,0.725,0.225
8.5,118.8849910736084,6,0.725,0.275
9.0,124.08162708282471,4,0.85,0.15
9.5,126.29800035953522,4,0.8,0.35
10.0,131.47487092018127,6,0.725,0.375
10.5,122.98023080825806,7,0.675,0.3
11.0,117.60068378448486,5,0.775,0.25
11.5,130.11541500091553,5,0.8,0.35
12.0,115.13691072463989,4,0.825,0.225
12.5,123.4680941581726,4,0.825,0.225
13.0,124.26094760894776,4,0.825,0.25
13.5,119.94075746536255,1,0.95,0.375
14.0,118.9630880355835,3,0.85,0.3
14.5,126.81960802078247,1,0.95,0.325
15.0,120.090749168396,4,0.825,0.3
15.5,115.61967601776124,3,0.875,0.425
16.0,111.12620525360107,3,0.875,0.25
16.5,115.63042917251587,3,0.875,0.425
17.0,113.52591209411621,2,0.925,0.325
17.5,115.39117636680604,3,0.875,0.325
18.0,119.04886331558228,4,0.825,0.25
18.5,119.59268312454223,2,0.925,0.25
19.0,122.47036094665528,3,0.9,0.375
19.5,116.26987586021423,4,0.85,0.325
20.0,116.26278557777405,2,0.925,0.25
20.5,112.42052521705628,2,0.925,0.325
21.0,115.16210222244263,3,0.9,0.325
21.5,119.02062170505523,2,0.925,0.275
22.0,118.87910318374634,2,0.925,0.35
22.5,128.62902240753175,2,0.925,0.325
23.0,124.994677734375,2,0.925,0.375
23.5,124.37462105751038,2,0.925,0.475
24.0,110.40951886177064,3,0.875,0.325
24.5,121.92744722366334,3,0.875,0.2
25.0,114.29702508449554,2,0.925,0.3
25.5,113.30074005126953,3,0.875,0.4
26.0,113.08704478740692,4,0.825,0.4
26.5,115.68321375846863,3,0.875,0.375
27.0,115.21122529506684,3,0.875,0.325
27.5,111.56067497730255,3,0.875,0.325
28.0,115.24717330932617,3,0.875,0.35
28.5,114.78918817043305,2,0.9,0.35
29.0,113.14364924430848,3,0.875,0.35
29.5,116.13588433265686,3,0.875,0.275
30.0,112.33524112701416,3,0.875,0.325
30.5,112.96020379066468,3,0.875,0.35
31.0,109.37096529006958,3,0.875,0.4
31.5,109.95861053466797,3,0.875,0.35
32.0,111.26517915725708,3,0.875,0.3
32.5,107.35249693393708,2,0.925,0.425
33.0,108.91741503477097,3,0.875,0.425
33.5,114.71009664535522,3,0.875,0.225
34.0,109.44591512680054,3,0.875,0.3
34.5,109.85648193359376,3,0.875,0.325
35.0,107.86010494232178,2,0.925,0.35
35.5,110.41050815582275,3,0.875,0.375
36.0,106.60603902339935,3,0.875,0.425
36.5,110.58932523727417,3,0.875,0.3
37.0,111.86127183437347,3,0.875,0.3
37.5,112.87750778198242,2,0.925,0.425
38.0,105.92364802360535,3,0.875,0.4
38.5,117.66139478683472,3,0.875,0.35
39.0,118.07989358901978,2,0.925,0.4
39.5,112.8575523853302,2,0.925,0.3
40.0,110.52157950401306,2,0.925,0.3
40.5,112.08652901649475,2,0.925,0.375
41.0,117.27845313549042,3,0.875,0.3
41.5,111.89294447898865,3,0.875,0.275
42.0,117.71027550697326,2,0.925,0.35
42.5,120.55784435272217,2,0.925,0.375
43.0,115.02224407196044,2,0.925,0.4
43.5,116.02288384437561,2,0.925,0.3
44.0,110.12834558486938,2,0.925,0.325
44.5,110.2477478981018,2,0.925,0.3
45.0,115.85338258743286,2,0.925,0.3
45.5,114.07161121368408,2,0.925,0.25
46.0,115.52562019824981,2,0.925,0.325
46.5,108.65740299224854,2,0.925,0.3
47.0,115.23092303276061,2,0.925,0.3
47.5,114.94508543014527,2,0.925,0.225
48.0,115.2625325679779,2,0.925,0.3
48.5,119.85318107604981,2,0.925,0.225
49.0,113.04495887756347,2,0.925,0.35
49.5,117.00616903305054,2,0.925,0.25
